ob_end_time,id_type,id,ob_hour_count,version_num,met_domain_name,src_id,rec_st_ind,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q,min_grss_temp_q,min_conc_temp_q,max_air_temp_j,min_air_temp_j,min_grss_temp_j,min_conc_temp_j,meto_stmp_time,midas_stmp_etime
2000-01-18 09:00:00,DCNN,2423,12,1,NCM,384,1011,4.0,1.0,-1.7,-1.6,6,6,6,6,NA,NA,NA,NA,2000-01-18 09:00:00,11284.0
2000-01-18 21:00:00,DCNN,2423,12,1,NCM,384,1011,6.8,2.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-18 20:54:00,10570.0
2000-01-19 09:00:00,DCNN,2423,12,1,NCM,384,1011,6.7,2.5,-0.5,-0.4,6,6,6,6,NA,NA,NA,NA,2000-01-19 08:56:00,9848.0
2000-01-19 21:00:00,DCNN,2423,12,1,NCM,384,1011,7.1,2.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-19 20:55:00,9129.0
2000-01-20 09:00:00,DCNN,2423,12,1,NCM,384,1011,3.3,0.7,-4.7,-2.5,6,6,6,6,NA,NA,NA,NA,2000-01-20 09:03:00,8401.0
2000-01-20 21:00:00,DCNN,2423,12,1,NCM,384,1011,5.9,3.0,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-20 20:55:00,7689.0
2000-01-21 09:00:00,DCNN,2423,12,1,NCM,384,1011,4.4,2.6,-0.9,-0.5,6,6,6,6,NA,NA,NA,NA,2000-01-21 08:56:00,6968.0
2000-01-21 21:00:00,DCNN,2423,12,1,NCM,384,1011,7.6,2.1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-21 20:56:00,6248.0
2000-01-22 09:00:00,DCNN,2423,12,1,NCM,384,1011,6.7,2.6,-2.3,-1.2,6,6,6,6,NA,NA,NA,NA,2000-01-22 12:22:00,5322.0
2000-01-22 21:00:00,DCNN,2423,12,1,NCM,384,1011,5.7,1.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-22 20:54:00,4810.0
2000-01-23 09:00:00,DCNN,2423,12,1,NCM,384,1011,3.6,1.5,-1.6,-1.3,6,6,6,6,NA,NA,NA,NA,2000-01-23 08:59:00,4086.0
2000-01-23 21:00:00,DCNN,2423,12,1,NCM,384,1011,5.2,0.9,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-23 21:00:00,3365.0
2000-01-24 09:00:00,DCNN,2423,12,1,NCM,384,1011,1.5,-0.8,-3.9,-3.4,6,6,6,6,NA,NA,NA,NA,2000-01-24 09:00:00,12726.0
2000-01-24 21:00:00,DCNN,2423,12,1,NCM,384,1011,5.7,-0.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-24 20:58:00,12008.0
